Label;CDU/CSU;SPD;Grüne;DIE LINKE;AfD;FDP;FREIE WÄHLER;Piratenpartei;Tierschutzpartei;NPD;Familienpartei;ÖDP;Die PARTEI;Volksabstimmung;Bayernpartei;DKP;MLPD;SGP;TIERSCHUTZ;Tierschutzallianz;Bündnis C;BIG;BGE;DIE DIREKTEI;DiEM25;III.Weg;Die Grauen;DIE RECHTE;DIE VIOLETTEN;LIEBE;DIE FRAUEN;Graue Panther;LKR;MENSCHLICHE WELT;NL;ÖkoLinX;Die Humanisten;Partei für die Tiere;Gesundheitsforschung;Volt
1. EU-Bürgerentscheide einführen;1;3;3;3;1;2;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;1;3;1;3;3;3;3;3;3;3;3;1;3;2;1
2. Höhere Ziele CO2-Reduktion;2;3;3;3;1;1;3;3;3;1;2;3;3;1;2;3;3;3;1;3;1;3;3;3;3;1;3;1;3;3;3;3;3;3;3;3;3;3;2;3
3. europäische Armee aufbauen;3;3;1;1;1;3;3;1;2;1;3;1;1;2;3;1;1;1;1;2;1;3;1;1;3;1;3;1;2;3;1;3;1;1;3;1;3;2;2;3
4. Bio-Landwirtschaft fördern;2;3;3;3;1;1;2;3;3;3;2;3;3;3;1;3;2;3;1;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;1;3;2;3
5. Euro abschaffen;1;1;1;1;3;1;1;1;1;3;1;1;1;3;3;3;2;1;3;1;1;1;1;1;1;3;1;3;2;1;1;1;1;1;1;1;1;2;2;1
6. private Seenotrettung unterstützen;1;3;3;3;1;2;1;3;3;1;3;3;3;1;1;3;3;3;1;2;1;3;3;3;3;1;1;1;3;3;3;1;2;3;3;3;1;2;2;3
7. Finanz-Transaktions-Steuer einführen;3;3;3;3;2;1;3;3;3;3;3;3;3;3;3;3;3;3;1;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;3
8. Gentechnik (bei Pflanzen) erlauben;2;1;1;1;3;3;1;1;1;1;1;1;1;2;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;3;1;2;3
9. Sozialleistungen im EU-Ausland kürzen;3;1;1;1;3;3;3;1;1;3;3;2;3;1;3;1;1;1;2;2;2;1;1;2;1;3;2;3;1;1;1;3;3;3;1;1;1;2;2;1
10. transnationale Listen bei Europawahl;1;3;3;1;1;3;1;3;3;1;1;1;1;2;1;2;3;3;1;2;1;3;3;2;3;1;1;1;3;3;2;1;1;1;3;3;3;1;2;3
11. Mehr Entwicklungshilfe;3;3;3;3;1;2;3;3;3;1;3;3;3;1;3;3;2;1;1;3;3;3;3;3;3;1;2;1;3;3;3;3;3;3;3;3;3;3;2;3
12. Fluggäste Daten weiterhin speichern;3;2;1;1;2;1;3;1;2;3;3;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;3;3;1;1;1;1;2;2;1
13. nationaler Mindestlohn in allen Ländern;1;3;3;3;1;1;1;3;3;1;3;3;3;1;1;3;3;3;1;2;1;3;2;3;3;3;3;3;3;3;3;3;1;3;3;3;3;2;2;3
14. Flüchtlingsdeal mit Türkei beibehalten;3;1;1;1;1;3;3;1;1;1;1;2;1;1;3;1;1;1;3;2;1;3;1;1;1;1;3;1;1;3;1;3;3;2;1;2;2;2;2;2
15. Frauenquote in Aufsichtsräten festlegen;2;3;3;3;1;1;1;1;3;1;2;1;3;1;1;2;2;1;1;3;1;3;2;3;3;1;3;1;3;3;3;1;1;3;1;3;1;2;2;3
16. Dexit (Deutschland soll EU verlassen);1;1;1;1;2;1;1;1;1;3;1;1;1;2;1;3;2;1;1;1;1;1;1;1;1;3;1;3;1;1;1;1;1;1;1;1;1;2;2;1
17. Atomkraft weiterhin erlauben;2;1;1;1;3;3;1;1;1;2;1;1;1;2;2;1;1;1;3;1;3;1;1;1;1;2;1;3;1;3;1;1;3;1;1;1;3;2;2;3
18. Zuwanderung Fachkräfte aus Nicht-EU fördern;3;3;3;2;1;3;3;3;2;1;1;2;3;1;1;1;1;1;1;2;1;3;2;3;3;1;1;1;1;3;1;1;3;1;3;3;3;2;2;3
19. Presse- und Medienfreiheit;3;3;3;3;1;3;3;3;3;1;3;3;3;1;3;1;3;3;1;3;1;3;3;3;3;1;3;1;3;3;3;3;3;1;3;3;3;2;2;3
20. Wirtschaftshihlfe innerhalb der EU reduzieren;1;1;1;1;3;2;1;1;1;3;1;1;1;3;2;1;1;1;2;1;3;1;1;2;1;3;3;3;1;1;1;3;1;1;1;1;1;2;2;1
21. medizinische Tierversuche weiterhin erlauben;3;3;1;2;3;3;1;3;1;1;2;1;1;2;1;3;3;3;1;1;3;1;2;1;2;1;1;2;1;1;1;1;3;1;3;2;3;1;3;3
22. Europäische Polizei stärken;3;3;3;1;1;3;3;1;2;3;3;3;1;2;1;1;1;1;1;3;1;3;1;2;2;1;3;1;1;3;1;2;3;1;3;1;3;2;2;3
23. EU-weit Mindeststeuersatz für Unternehmen;2;3;3;3;1;1;1;3;3;1;3;3;3;3;1;3;3;3;1;3;2;1;1;2;3;1;3;1;3;1;3;3;3;3;3;3;3;3;2;3
24. Einführung Gleichgeschlechtliche Ehe fördern;2;3;3;3;1;2;2;3;3;1;1;2;3;1;1;3;3;3;1;3;1;1;3;3;3;1;3;1;3;3;3;3;1;1;3;3;3;2;2;3
25. Staatsverschuldung konsequent bestrafen;3;2;2;1;3;3;3;1;2;1;3;3;3;3;3;1;1;1;1;2;3;3;1;3;2;1;3;3;3;3;1;3;3;1;1;2;3;2;2;1
26. Lkw-Maut auf Fernstraßen einführen;1;3;3;3;1;1;3;1;2;1;3;3;3;1;1;1;3;1;1;3;1;3;3;3;3;3;3;1;2;3;3;3;3;3;3;3;1;3;2;3
27. EU als christliche Wertegemeinschaft verstehen;3;1;1;1;3;1;3;1;1;3;3;2;1;3;2;1;1;1;3;2;3;1;1;2;1;1;2;2;1;3;1;3;3;1;1;1;1;1;2;1
28. Alle Banken verstaatlichen;1;1;1;3;1;1;1;1;2;1;1;1;1;1;1;3;3;3;1;1;1;1;1;1;2;1;2;2;1;1;2;1;1;1;1;3;1;2;2;1
"29. ""Mittelmeer-Route"" schließen";2;1;1;1;3;1;3;1;1;3;1;1;1;3;3;1;1;1;1;1;2;1;1;1;1;3;3;3;1;3;1;3;1;1;1;1;1;2;2;1
30. Sanktionen gegen Russland abbauen;1;3;1;3;3;1;1;1;2;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;2;3;3;3;3;1;3;3;3;3;1;2;1;2;2;1
31. Plastikverpackungen besteuern;2;1;3;3;2;1;1;3;3;3;3;3;3;3;1;1;3;1;3;3;3;3;3;3;3;2;3;1;3;3;3;3;3;3;3;3;1;3;2;3
32. Initiativen gegen Antisemitismus fördern;3;3;3;3;2;3;3;3;3;1;3;3;3;1;2;3;3;3;1;3;3;3;3;2;3;1;2;1;2;3;3;1;3;3;3;3;3;2;2;3
33. EU-Außenpolitik mit Mehrheitsentscheiden;3;3;3;1;1;3;1;3;3;1;3;1;3;2;3;1;2;1;1;1;1;3;3;2;3;1;2;1;3;3;2;3;1;3;3;1;3;2;2;3
34. Proportionale Verteilung Asylsuchende in EU;3;3;3;3;1;3;3;3;2;1;3;3;3;1;1;3;1;1;1;3;1;1;2;3;3;1;3;1;3;3;1;3;1;2;3;3;3;2;2;3
35. Fischerei Fangmengen begrenzen;3;3;3;3;1;2;1;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;2;3;2;3;2;3
36. Grenzkontrollen innerhalb EU einführen;1;1;1;1;3;1;1;1;1;3;1;1;1;3;1;1;1;1;3;1;1;1;1;3;1;3;3;3;1;3;1;1;1;1;1;1;1;3;2;1
37. Vereinigte Staaten von Europa entwickeln;1;3;3;1;1;3;1;3;2;1;1;1;3;2;1;1;2;1;1;2;1;2;3;1;3;1;1;1;1;3;2;1;1;2;3;1;3;2;2;3
38. Wahlrecht ab 16 bei Europawahl;1;3;3;3;1;1;1;3;3;1;3;3;3;1;1;3;3;3;1;3;1;3;3;3;3;1;3;3;2;3;3;1;1;3;3;3;3;3;2;3
