CDU/CSU,SPD,Grüne,DIE LINKE,AfD,FDP,FREIE WÄHLER,Piratenpartei,Tierschutzpartei,NPD,Familienpartei,ÖDP,Die PARTEI,Volksabstimmung,Bayernpartei,DKP,MLPD,SGP,TIERSCHUTZ,Tierschutzallianz,Bündnis C,BIG,BGE,DIE DIREKTEI,DiEM25,III.Weg,Die Grauen,DIE RECHTE,DIE VIOLETTEN,LIEBE,DIE FRAUEN,Graue Panther,LKR,MENSCHLICHE WELT,NL,ÖkoLinX,Die Humanisten,Partei für die Tiere,Gesundheitsforschung,Volt,statement
1,3,3,3,1,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,1,3,3,3,3,3,3,3,3,1,3,2,1,EU-Bürgerentscheide einführen
2,3,3,3,1,1,3,3,3,1,2,3,3,1,2,3,3,3,1,3,1,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,2,3,Höhere Ziele CO2-Reduktion
3,3,1,1,1,3,3,1,2,1,3,1,1,2,3,1,1,1,1,2,1,3,1,1,3,1,3,1,2,3,1,3,1,1,3,1,3,2,2,3,europäische Armee aufbauen
2,3,3,3,1,1,2,3,3,3,2,3,3,3,1,3,2,3,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,3,2,3,Bio-Landwirtschaft fördern
1,1,1,1,3,1,1,1,1,3,1,1,1,3,3,3,2,1,3,1,1,1,1,1,1,3,1,3,2,1,1,1,1,1,1,1,1,2,2,1,Euro abschaffen
1,3,3,3,1,2,1,3,3,1,3,3,3,1,1,3,3,3,1,2,1,3,3,3,3,1,1,1,3,3,3,1,2,3,3,3,1,2,2,3,private Seenotrettung unterstützen
3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,Finanz-Transaktions-Steuer einführen
2,1,1,1,3,3,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,3,1,2,3,Gentechnik (bei Pflanzen) erlauben
3,1,1,1,3,3,3,1,1,3,3,2,3,1,3,1,1,1,2,2,2,1,1,2,1,3,2,3,1,1,1,3,3,3,1,1,1,2,2,1,Sozialleistungen im EU-Ausland kürzen
1,3,3,1,1,3,1,3,3,1,1,1,1,2,1,2,3,3,1,2,1,3,3,2,3,1,1,1,3,3,2,1,1,1,3,3,3,1,2,3,transnationale Listen bei Europawahl
3,3,3,3,1,2,3,3,3,1,3,3,3,1,3,3,2,1,1,3,3,3,3,3,3,1,2,1,3,3,3,3,3,3,3,3,3,3,2,3,Mehr Entwicklungshilfe
3,2,1,1,2,1,3,1,2,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,1,1,2,2,1,Fluggäste Daten weiterhin speichern
1,3,3,3,1,1,1,3,3,1,3,3,3,1,1,3,3,3,1,2,1,3,2,3,3,3,3,3,3,3,3,3,1,3,3,3,3,2,2,3,nationaler Mindestlohn in allen Ländern
3,1,1,1,1,3,3,1,1,1,1,2,1,1,3,1,1,1,3,2,1,3,1,1,1,1,3,1,1,3,1,3,3,2,1,2,2,2,2,2,Flüchtlingsdeal mit Türkei beibehalten
2,3,3,3,1,1,1,1,3,1,2,1,3,1,1,2,2,1,1,3,1,3,2,3,3,1,3,1,3,3,3,1,1,3,1,3,1,2,2,3,Frauenquote in Aufsichtsräten festlegen
1,1,1,1,2,1,1,1,1,3,1,1,1,2,1,3,2,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,2,2,1,Dexit (Deutschland soll EU verlassen)
2,1,1,1,3,3,1,1,1,2,1,1,1,2,2,1,1,1,3,1,3,1,1,1,1,2,1,3,1,3,1,1,3,1,1,1,3,2,2,3,Atomkraft weiterhin erlauben
3,3,3,2,1,3,3,3,2,1,1,2,3,1,1,1,1,1,1,2,1,3,2,3,3,1,1,1,1,3,1,1,3,1,3,3,3,2,2,3,Zuwanderung Fachkräfte aus Nicht-EU fördern
3,3,3,3,1,3,3,3,3,1,3,3,3,1,3,1,3,3,1,3,1,3,3,3,3,1,3,1,3,3,3,3,3,1,3,3,3,2,2,3,Presse- und Medienfreiheit
1,1,1,1,3,2,1,1,1,3,1,1,1,3,2,1,1,1,2,1,3,1,1,2,1,3,3,3,1,1,1,3,1,1,1,1,1,2,2,1,Wirtschaftshihlfe innerhalb der EU reduzieren
3,3,1,2,3,3,1,3,1,1,2,1,1,2,1,3,3,3,1,1,3,1,2,1,2,1,1,2,1,1,1,1,3,1,3,2,3,1,3,3,medizinische Tierversuche weiterhin erlauben
3,3,3,1,1,3,3,1,2,3,3,3,1,2,1,1,1,1,1,3,1,3,1,2,2,1,3,1,1,3,1,2,3,1,3,1,3,2,2,3,Europäische Polizei stärken
2,3,3,3,1,1,1,3,3,1,3,3,3,3,1,3,3,3,1,3,2,1,1,2,3,1,3,1,3,1,3,3,3,3,3,3,3,3,2,3,EU-weit Mindeststeuersatz für Unternehmen
2,3,3,3,1,2,2,3,3,1,1,2,3,1,1,3,3,3,1,3,1,1,3,3,3,1,3,1,3,3,3,3,1,1,3,3,3,2,2,3,Einführung Gleichgeschlechtliche Ehe fördern
3,2,2,1,3,3,3,1,2,1,3,3,3,3,3,1,1,1,1,2,3,3,1,3,2,1,3,3,3,3,1,3,3,1,1,2,3,2,2,1,Staatsverschuldung konsequent bestrafen
1,3,3,3,1,1,3,1,2,1,3,3,3,1,1,1,3,1,1,3,1,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3,1,3,2,3,Lkw-Maut auf Fernstraßen einführen
3,1,1,1,3,1,3,1,1,3,3,2,1,3,2,1,1,1,3,2,3,1,1,2,1,1,2,2,1,3,1,3,3,1,1,1,1,1,2,1,EU als christliche Wertegemeinschaft verstehen
1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,3,1,2,2,1,Alle Banken verstaatlichen
2,1,1,1,3,1,3,1,1,3,1,1,1,3,3,1,1,1,1,1,2,1,1,1,1,3,3,3,1,3,1,3,1,1,1,1,1,2,2,1,"""Mittelmeer-Route"" schließen"
1,3,1,3,3,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,1,3,3,3,3,1,2,1,2,2,1,Sanktionen gegen Russland abbauen
2,1,3,3,2,1,1,3,3,3,3,3,3,3,1,1,3,1,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,1,3,2,3,Plastikverpackungen besteuern
3,3,3,3,2,3,3,3,3,1,3,3,3,1,2,3,3,3,1,3,3,3,3,2,3,1,2,1,2,3,3,1,3,3,3,3,3,2,2,3,Initiativen gegen Antisemitismus fördern
3,3,3,1,1,3,1,3,3,1,3,1,3,2,3,1,2,1,1,1,1,3,3,2,3,1,2,1,3,3,2,3,1,3,3,1,3,2,2,3,EU-Außenpolitik mit Mehrheitsentscheiden
3,3,3,3,1,3,3,3,2,1,3,3,3,1,1,3,1,1,1,3,1,1,2,3,3,1,3,1,3,3,1,3,1,2,3,3,3,2,2,3,Proportionale Verteilung Asylsuchende in EU
3,3,3,3,1,2,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,2,3,2,3,2,3,Fischerei Fangmengen begrenzen
1,1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,3,3,3,1,3,1,1,1,1,1,1,1,3,2,1,Grenzkontrollen innerhalb EU einführen
1,3,3,1,1,3,1,3,2,1,1,1,3,2,1,1,2,1,1,2,1,2,3,1,3,1,1,1,1,3,2,1,1,2,3,1,3,2,2,3,Vereinigte Staaten von Europa entwickeln
1,3,3,3,1,1,1,3,3,1,3,3,3,1,1,3,3,3,1,3,1,3,3,3,3,1,3,3,2,3,3,1,1,3,3,3,3,3,2,3,Wahlrecht ab 16 bei Europawahl
